configuration,case_id,complaint_id,language,condition,true_dept,critical_case,predicted_dept,prediction_margin,classifier_input_complete,ai_only_route,ai_correct,ai_dangerous_misroute,asset_id,criticality_tier,reliability_state,risk_level,action,final_department,human_review,emergency_dispatch,response_hours,reason_codes,dangerous_misroute_allowed,dangerous_misroute_intercepted,critical_emergency_response,escalated,unnecessary_escalation,noncritical_misroute_caught,safe_automation,mapped_scenario_id,failure_window_hours,incident_prevented,simulated_exposure
escalate_everything,c01_en_small_model,c01,en,small_model,electrical_emergency,True,electrical_emergency,1,True,electrical_emergency,True,False,sub_039,very_high,n/a,yellow,human_verification,verification,True,False,28.0,ESCALATE_ALL,False,False,False,True,False,False,False,,,False,
ai_only,c01_native_clean,c01,native,clean,electrical_emergency,True,electrical_emergency,3,True,electrical_emergency,True,False,sub_039,very_high,n/a,n/a,automatic_route,electrical_emergency,False,False,4.0,,False,False,True,False,False,False,False,,,False,
existing_guard,c01_native_clean,c01,native,clean,electrical_emergency,True,electrical_emergency,3,True,electrical_emergency,True,False,sub_039,very_high,n/a,urgency_floor,automatic_route,electrical_emergency,False,True,4.0,urgency_floor,False,False,True,True,False,False,False,,,False,
decision_firewall,c01_native_clean,c01,native,clean,electrical_emergency,True,electrical_emergency,3,True,electrical_emergency,True,False,sub_039,very_high,normal,red,emergency_dispatch,electrical_emergency,True,True,4.0,DIRECT_HAZARD|VERY_HIGH_ASSET_CRITICALITY,False,False,True,True,False,False,False,,,False,
decision_firewall_reliability_normal,c01_native_clean,c01,native,clean,electrical_emergency,True,electrical_emergency,3,True,electrical_emergency,True,False,sub_039,very_high,normal,red,emergency_dispatch,electrical_emergency,True,True,4.0,DIRECT_HAZARD|VERY_HIGH_ASSET_CRITICALITY,False,False,True,True,False,False,False,,,False,
escalate_everything,c01_native_clean,c01,native,clean,electrical_emergency,True,electrical_emergency,3,True,electrical_emergency,True,False,sub_039,very_high,n/a,yellow,human_verification,verification,True,False,28.0,ESCALATE_ALL,False,False,False,True,False,False,False,,,False,
ai_only,c01_native_truncated,c01,native,truncated,electrical_emergency,True,,0,False,electrical_maintenance,False,True,sub_039,very_high,n/a,n/a,automatic_route,electrical_maintenance,False,False,336.0,,True,False,False,False,False,False,False,SC-01,336.0,False,2729047.0
existing_guard,c01_native_truncated,c01,native,truncated,electrical_emergency,True,,0,False,electrical_maintenance,False,True,sub_039,very_high,n/a,verification,human_verification,verification,True,False,52.0,unparseable,False,True,False,True,False,False,False,SC-01,336.0,True,2729047.0
decision_firewall,c01_native_truncated,c01,native,truncated,electrical_emergency,True,,0,False,electrical_maintenance,False,True,sub_039,very_high,degraded,red,emergency_dispatch,electrical_emergency,True,True,4.0,DIRECT_HAZARD|DANGEROUS_DOWNGRADE|VERY_HIGH_ASSET_CRITICALITY|REPAIR_WINDOW_AT_RISK|RELIABILITY_DEGRADED|UNPARSEABLE_CLASSIFICATION|LOW_MARGIN|TRUNCATED_CLASSIFIER_INPUT,False,True,True,True,False,False,False,SC-01,336.0,True,2729047.0
decision_firewall_reliability_normal,c01_native_truncated,c01,native,truncated,electrical_emergency,True,,0,False,electrical_maintenance,False,True,sub_039,very_high,normal,red,emergency_dispatch,electrical_emergency,True,True,4.0,DIRECT_HAZARD|DANGEROUS_DOWNGRADE|VERY_HIGH_ASSET_CRITICALITY|REPAIR_WINDOW_AT_RISK|UNPARSEABLE_CLASSIFICATION|LOW_MARGIN|TRUNCATED_CLASSIFIER_INPUT,False,True,True,True,False,False,False,SC-01,336.0,True,2729047.0
escalate_everything,c01_native_truncated,c01,native,truncated,electrical_emergency,True,,0,False,electrical_maintenance,False,True,sub_039,very_high,n/a,yellow,human_verification,verification,True,False,28.0,ESCALATE_ALL,False,True,False,True,False,False,False,SC-01,336.0,True,2729047.0
ai_only,c01_native_small_model,c01,native,small_model,electrical_emergency,True,electrical_emergency,1,True,electrical_emergency,True,False,sub_039,very_high,n/a,n/a,automatic_route,electrical_emergency,False,False,4.0,,False,False,True,False,False,False,False,,,False,
existing_guard,c01_native_small_model,c01,native,small_model,electrical_emergency,True,electrical_emergency,1,True,electrical_emergency,True,False,sub_039,very_high,n/a,urgency_floor,automatic_route,electrical_emergency,False,True,4.0,urgency_floor,False,False,True,True,False,False,False,,,False,
decision_firewall,c01_native_small_model,c01,native,small_model,electrical_emergency,True,electrical_emergency,1,True,electrical_emergency,True,False,sub_039,very_high,degraded,red,emergency_dispatch,electrical_emergency,True,True,4.0,DIRECT_HAZARD|VERY_HIGH_ASSET_CRITICALITY|RELIABILITY_DEGRADED,False,False,True,True,False,False,False,,,False,
decision_firewall_reliability_normal,c01_native_small_model,c01,native,small_model,electrical_emergency,True,electrical_emergency,1,True,electrical_emergency,True,False,sub_039,very_high,normal,red,emergency_dispatch,electrical_emergency,True,True,4.0,DIRECT_HAZARD|VERY_HIGH_ASSET_CRITICALITY,False,False,True,True,False,False,False,,,False,
escalate_everything,c01_native_small_model,c01,native,small_model,electrical_emergency,True,electrical_emergency,1,True,electrical_emergency,True,False,sub_039,very_high,n/a,yellow,human_verification,verification,True,False,28.0,ESCALATE_ALL,False,False,False,True,False,False,False,,,False,
ai_only,c02_en_clean,c02,en,clean,electrical_maintenance,False,electrical_maintenance,4,True,electrical_maintenance,True,False,sub_170,normal,n/a,n/a,automatic_route,electrical_maintenance,False,False,336.0,,False,False,False,False,False,False,True,,,False,
existing_guard,c02_en_clean,c02,en,clean,electrical_maintenance,False,electrical_maintenance,4,True,electrical_maintenance,True,False,sub_170,normal,n/a,n/a,automatic_route,electrical_maintenance,False,False,336.0,,False,False,False,False,False,False,True,,,False,
decision_firewall,c02_en_clean,c02,en,clean,electrical_maintenance,False,electrical_maintenance,4,True,electrical_maintenance,True,False,sub_170,normal,normal,green,automatic_route,electrical_maintenance,False,False,336.0,SAFE_AUTOMATION_ALLOWED,False,False,False,False,False,False,True,,,False,
decision_firewall_reliability_normal,c02_en_clean,c02,en,clean,electrical_maintenance,False,electrical_maintenance,4,True,electrical_maintenance,True,False,sub_170,normal,normal,green,automatic_route,electrical_maintenance,False,False,336.0,SAFE_AUTOMATION_ALLOWED,False,False,False,False,False,False,True,,,False,
escalate_everything,c02_en_clean,c02,en,clean,electrical_maintenance,False,electrical_maintenance,4,True,electrical_maintenance,True,False,sub_170,normal,n/a,yellow,human_verification,verification,True,False,360.0,ESCALATE_ALL,False,False,False,True,True,False,False,,,False,
ai_only,c02_en_truncated,c02,en,truncated,electrical_maintenance,False,electrical_maintenance,1,False,electrical_maintenance,True,False,sub_170,normal,n/a,n/a,automatic_route,electrical_maintenance,False,False,336.0,,False,False,False,False,False,False,True,,,False,
existing_guard,c02_en_truncated,c02,en,truncated,electrical_maintenance,False,electrical_maintenance,1,False,electrical_maintenance,True,False,sub_170,normal,n/a,n/a,automatic_route,electrical_maintenance,False,False,336.0,,False,False,False,False,False,False,True,,,False,
decision_firewall,c02_en_truncated,c02,en,truncated,electrical_maintenance,False,electrical_maintenance,1,False,electrical_maintenance,True,False,sub_170,normal,normal,yellow,human_verification,electrical_maintenance,True,False,360.0,TRUNCATED_CLASSIFIER_INPUT,False,False,False,True,True,False,False,,,False,
decision_firewall_reliability_normal,c02_en_truncated,c02,en,truncated,electrical_maintenance,False,electrical_maintenance,1,False,electrical_maintenance,True,False,sub_170,normal,normal,yellow,human_verification,electrical_maintenance,True,False,360.0,TRUNCATED_CLASSIFIER_INPUT,False,False,False,True,True,False,False,,,False,
escalate_everything,c02_en_truncated,c02,en,truncated,electrical_maintenance,False,electrical_maintenance,1,False,electrical_maintenance,True,False,sub_170,normal,n/a,yellow,human_verification,verification,True,False,360.0,ESCALATE_ALL,False,False,False,True,True,False,False,,,False,
ai_only,c02_en_small_model,c02,en,small_model,electrical_maintenance,False,electrical_maintenance,1,True,electrical_maintenance,True,False,sub_170,normal,n/a,n/a,automatic_route,electrical_maintenance,False,False,336.0,,False,False,False,False,False,False,True,,,False,
existing_guard,c02_en_small_model,c02,en,small_model,electrical_maintenance,False,electrical_maintenance,1,True,electrical_maintenance,True,False,sub_170,normal,n/a,n/a,automatic_route,electrical_maintenance,False,False,336.0,,False,False,False,False,False,False,True,,,False,
decision_firewall,c02_en_small_model,c02,en,small_model,electrical_maintenance,False,electrical_maintenance,1,True,electrical_maintenance,True,False,sub_170,normal,degraded,yellow,human_verification,electrical_maintenance,True,False,360.0,RELIABILITY_DEGRADED,False,False,False,True,True,False,False,,,False,
decision_firewall_reliability_normal,c02_en_small_model,c02,en,small_model,electrical_maintenance,False,electrical_maintenance,1,True,electrical_maintenance,True,False,sub_170,normal,normal,green,automatic_route,electrical_maintenance,False,False,336.0,SAFE_AUTOMATION_ALLOWED,False,False,False,False,False,False,True,,,False,
escalate_everything,c02_en_small_model,c02,en,small_model,electrical_maintenance,False,electrical_maintenance,1,True,electrical_maintenance,True,False,sub_170,normal,n/a,yellow,human_verification,verification,True,False,360.0,ESCALATE_ALL,False,False,False,True,True,False,False,,,False,
ai_only,c02_native_clean,c02,native,clean,electrical_maintenance,False,electrical_maintenance,3,True,electrical_maintenance,True,False,sub_170,normal,n/a,n/a,automatic_route,electrical_maintenance,False,False,336.0,,False,False,False,False,False,False,True,SC-05,,False,
existing_guard,c02_native_clean,c02,native,clean,electrical_maintenance,False,electrical_maintenance,3,True,electrical_maintenance,True,False,sub_170,normal,n/a,n/a,automatic_route,electrical_maintenance,False,False,336.0,,False,False,False,False,False,False,True,SC-05,,False,
decision_firewall,c02_native_clean,c02,native,clean,electrical_maintenance,False,electrical_maintenance,3,True,electrical_maintenance,True,False,sub_170,normal,normal,green,automatic_route,electrical_maintenance,False,False,336.0,SAFE_AUTOMATION_ALLOWED,False,False,False,False,False,False,True,SC-05,,False,
decision_firewall_reliability_normal,c02_native_clean,c02,native,clean,electrical_maintenance,False,electrical_maintenance,3,True,electrical_maintenance,True,False,sub_170,normal,normal,green,automatic_route,electrical_maintenance,False,False,336.0,SAFE_AUTOMATION_ALLOWED,False,False,False,False,False,False,True,SC-05,,False,
escalate_everything,c02_native_clean,c02,native,clean,electrical_maintenance,False,electrical_maintenance,3,True,electrical_maintenance,True,False,sub_170,normal,n/a,yellow,human_verification,verification,True,False,360.0,ESCALATE_ALL,False,False,False,True,True,False,False,SC-05,,False,
ai_only,c02_native_truncated,c02,native,truncated,electrical_maintenance,False,electrical_maintenance,1,False,electrical_maintenance,True,False,sub_170,normal,n/a,n/a,automatic_route,electrical_maintenance,False,False,336.0,,False,False,False,False,False,False,True,,,False,
existing_guard,c02_native_truncated,c02,native,truncated,electrical_maintenance,False,electrical_maintenance,1,False,electrical_maintenance,True,False,sub_170,normal,n/a,n/a,automatic_route,electrical_maintenance,False,False,336.0,,False,False,False,False,False,False,True,,,False,
decision_firewall,c02_native_truncated,c02,native,truncated,electrical_maintenance,False,electrical_maintenance,1,False,electrical_maintenance,True,False,sub_170,normal,degraded,yellow,human_verification,electrical_maintenance,True,False,360.0,TRUNCATED_CLASSIFIER_INPUT|RELIABILITY_DEGRADED,False,False,False,True,True,False,False,,,False,
decision_firewall_reliability_normal,c02_native_truncated,c02,native,truncated,electrical_maintenance,False,electrical_maintenance,1,False,electrical_maintenance,True,False,sub_170,normal,normal,yellow,human_verification,electrical_maintenance,True,False,360.0,TRUNCATED_CLASSIFIER_INPUT,False,False,False,True,True,False,False,,,False,
escalate_everything,c02_native_truncated,c02,native,truncated,electrical_maintenance,False,electrical_maintenance,1,False,electrical_maintenance,True,False,sub_170,normal,n/a,yellow,human_verification,verification,True,False,360.0,ESCALATE_ALL,False,False,False,True,True,False,False,,,False,
ai_only,c02_native_small_model,c02,native,small_model,electrical_maintenance,False,electrical_maintenance,1,True,electrical_maintenance,True,False,sub_170,normal,n/a,n/a,automatic_route,electrical_maintenance,False,False,336.0,,False,False,False,False,False,False,True,,,False,
existing_guard,c02_native_small_model,c02,native,small_model,electrical_maintenance,False,electrical_maintenance,1,True,electrical_maintenance,True,False,sub_170,normal,n/a,n/a,automatic_route,electrical_maintenance,False,False,336.0,,False,False,False,False,False,False,True,,,False,
decision_firewall,c02_native_small_model,c02,native,small_model,electrical_maintenance,False,electrical_maintenance,1,True,electrical_maintenance,True,False,sub_170,normal,degraded,yellow,human_verification,electrical_maintenance,True,False,360.0,RELIABILITY_DEGRADED,False,False,False,True,True,False,False,,,False,
decision_firewall_reliability_normal,c02_native_small_model,c02,native,small_model,electrical_maintenance,False,electrical_maintenance,1,True,electrical_maintenance,True,False,sub_170,normal,normal,green,automatic_route,electrical_maintenance,False,False,336.0,SAFE_AUTOMATION_ALLOWED,False,False,False,False,False,False,True,,,False,
escalate_everything,c02_native_small_model,c02,native,small_model,electrical_maintenance,False,electrical_maintenance,1,True,electrical_maintenance,True,False,sub_170,normal,n/a,yellow,human_verification,verification,True,False,360.0,ESCALATE_ALL,False,False,False,True,True,False,False,,,False,
ai_only,c03_en_clean,c03,en,clean,electrical_emergency,True,electrical_emergency,2,True,electrical_emergency,True,False,sub_170,normal,n/a,n/a,automatic_route,electrical_emergency,False,False,4.0,,False,False,True,False,False,False,False,,,False,
existing_guard,c03_en_clean,c03,en,clean,electrical_emergency,True,electrical_emergency,2,True,electrical_emergency,True,False,sub_170,normal,n/a,urgency_floor,automatic_route,electrical_emergency,False,True,4.0,urgency_floor,False,False,True,True,False,False,False,,,False,
decision_firewall,c03_en_clean,c03,en,clean,electrical_emergency,True,electrical_emergency,2,True,electrical_emergency,True,False,sub_170,normal,normal,red,emergency_dispatch,electrical_emergency,True,True,4.0,DIRECT_HAZARD,False,False,True,True,False,False,False,,,False,
decision_firewall_reliability_normal,c03_en_clean,c03,en,clean,electrical_emergency,True,electrical_emergency,2,True,electrical_emergency,True,False,sub_170,normal,normal,red,emergency_dispatch,electrical_emergency,True,True,4.0,DIRECT_HAZARD,False,False,True,True,False,False,False,,,False,
escalate_everything,c03_en_clean,c03,en,clean,electrical_emergency,True,electrical_emergency,2,True,electrical_emergency,True,False,sub_170,normal,n/a,yellow,human_verification,verification,True,False,28.0,ESCALATE_ALL,False,False,False,True,False,False,False,,,False,
ai_only,c03_en_truncated,c03,en,truncated,electrical_emergency,True,electrical_emergency,1,False,electrical_emergency,True,False,sub_170,normal,n/a,n/a,automatic_route,electrical_emergency,False,False,4.0,,False,False,True,False,False,False,False,SC-03,336.0,True,16364.0
existing_guard,c03_en_truncated,c03,en,truncated,electrical_emergency,True,electrical_emergency,1,False,electrical_emergency,True,False,sub_170,normal,n/a,urgency_floor,automatic_route,electrical_emergency,False,True,4.0,urgency_floor,False,False,True,True,False,False,False,SC-03,336.0,True,16364.0
decision_firewall,c03_en_truncated,c03,en,truncated,electrical_emergency,True,electrical_emergency,1,False,electrical_emergency,True,False,sub_170,normal,normal,red,emergency_dispatch,electrical_emergency,True,True,4.0,DIRECT_HAZARD|TRUNCATED_CLASSIFIER_INPUT,False,False,True,True,False,False,False,SC-03,336.0,True,16364.0
decision_firewall_reliability_normal,c03_en_truncated,c03,en,truncated,electrical_emergency,True,electrical_emergency,1,False,electrical_emergency,True,False,sub_170,normal,normal,red,emergency_dispatch,electrical_emergency,True,True,4.0,DIRECT_HAZARD|TRUNCATED_CLASSIFIER_INPUT,False,False,True,True,False,False,False,SC-03,336.0,True,16364.0
escalate_everything,c03_en_truncated,c03,en,truncated,electrical_emergency,True,electrical_emergency,1,False,electrical_emergency,True,False,sub_170,normal,n/a,yellow,human_verification,verification,True,False,28.0,ESCALATE_ALL,False,False,False,True,False,False,False,SC-03,336.0,True,16364.0
ai_only,c03_en_small_model,c03,en,small_model,electrical_emergency,True,,0,True,electrical_maintenance,False,True,sub_170,normal,n/a,n/a,automatic_route,electrical_maintenance,False,False,336.0,,True,False,False,False,False,False,False,,,False,
existing_guard,c03_en_small_model,c03,en,small_model,electrical_emergency,True,,0,True,electrical_maintenance,False,True,sub_170,normal,n/a,verification,human_verification,verification,True,True,4.0,unparseable|urgency_floor,False,True,True,True,False,False,False,,,False,
decision_firewall,c03_en_small_model,c03,en,small_model,electrical_emergency,True,,0,True,electrical_maintenance,False,True,sub_170,normal,degraded,red,emergency_dispatch,electrical_emergency,True,True,4.0,DIRECT_HAZARD|DANGEROUS_DOWNGRADE|REPAIR_WINDOW_AT_RISK|RELIABILITY_DEGRADED|UNPARSEABLE_CLASSIFICATION|LOW_MARGIN,False,True,True,True,False,False,False,,,False,
decision_firewall_reliability_normal,c03_en_small_model,c03,en,small_model,electrical_emergency,True,,0,True,electrical_maintenance,False,True,sub_170,normal,normal,red,emergency_dispatch,electrical_emergency,True,True,4.0,DIRECT_HAZARD|DANGEROUS_DOWNGRADE|REPAIR_WINDOW_AT_RISK|UNPARSEABLE_CLASSIFICATION|LOW_MARGIN,False,True,True,True,False,False,False,,,False,
escalate_everything,c03_en_small_model,c03,en,small_model,electrical_emergency,True,,0,True,electrical_maintenance,False,True,sub_170,normal,n/a,yellow,human_verification,verification,True,False,28.0,ESCALATE_ALL,False,True,False,True,False,False,False,,,False,
ai_only,c03_native_clean,c03,native,clean,electrical_emergency,True,electrical_emergency,2,True,electrical_emergency,True,False,sub_170,normal,n/a,n/a,automatic_route,electrical_emergency,False,False,4.0,,False,False,True,False,False,False,False,,,False,
existing_guard,c03_native_clean,c03,native,clean,electrical_emergency,True,electrical_emergency,2,True,electrical_emergency,True,False,sub_170,normal,n/a,urgency_floor,automatic_route,electrical_emergency,False,True,4.0,urgency_floor,False,False,True,True,False,False,False,,,False,
decision_firewall,c03_native_clean,c03,native,clean,electrical_emergency,True,electrical_emergency,2,True,electrical_emergency,True,False,sub_170,normal,normal,red,emergency_dispatch,electrical_emergency,True,True,4.0,DIRECT_HAZARD,False,False,True,True,False,False,False,,,False,
decision_firewall_reliability_normal,c03_native_clean,c03,native,clean,electrical_emergency,True,electrical_emergency,2,True,electrical_emergency,True,False,sub_170,normal,normal,red,emergency_dispatch,electrical_emergency,True,True,4.0,DIRECT_HAZARD,False,False,True,True,False,False,False,,,False,
escalate_everything,c03_native_clean,c03,native,clean,electrical_emergency,True,electrical_emergency,2,True,electrical_emergency,True,False,sub_170,normal,n/a,yellow,human_verification,verification,True,False,28.0,ESCALATE_ALL,False,False,False,True,False,False,False,,,False,
ai_only,c03_native_truncated,c03,native,truncated,electrical_emergency,True,,0,False,electrical_maintenance,False,True,sub_170,normal,n/a,n/a,automatic_route,electrical_maintenance,False,False,336.0,,True,False,False,False,False,False,False,,,False,
existing_guard,c03_native_truncated,c03,native,truncated,electrical_emergency,True,,0,False,electrical_maintenance,False,True,sub_170,normal,n/a,verification,human_verification,verification,True,False,52.0,unparseable,False,True,False,True,False,False,False,,,False,
decision_firewall,c03_native_truncated,c03,native,truncated,electrical_emergency,True,,0,False,electrical_maintenance,False,True,sub_170,normal,degraded,red,emergency_dispatch,electrical_emergency,True,True,4.0,DIRECT_HAZARD|DANGEROUS_DOWNGRADE|REPAIR_WINDOW_AT_RISK|RELIABILITY_DEGRADED|UNPARSEABLE_CLASSIFICATION|LOW_MARGIN|TRUNCATED_CLASSIFIER_INPUT,False,True,True,True,False,False,False,,,False,
decision_firewall_reliability_normal,c03_native_truncated,c03,native,truncated,electrical_emergency,True,,0,False,electrical_maintenance,False,True,sub_170,normal,normal,red,emergency_dispatch,electrical_emergency,True,True,4.0,DIRECT_HAZARD|DANGEROUS_DOWNGRADE|REPAIR_WINDOW_AT_RISK|UNPARSEABLE_CLASSIFICATION|LOW_MARGIN|TRUNCATED_CLASSIFIER_INPUT,False,True,True,True,False,False,False,,,False,
escalate_everything,c03_native_truncated,c03,native,truncated,electrical_emergency,True,,0,False,electrical_maintenance,False,True,sub_170,normal,n/a,yellow,human_verification,verification,True,False,28.0,ESCALATE_ALL,False,True,False,True,False,False,False,,,False,
ai_only,c03_native_small_model,c03,native,small_model,electrical_emergency,True,,0,True,electrical_maintenance,False,True,sub_170,normal,n/a,n/a,automatic_route,electrical_maintenance,False,False,336.0,,True,False,False,False,False,False,False,,,False,
existing_guard,c03_native_small_model,c03,native,small_model,electrical_emergency,True,,0,True,electrical_maintenance,False,True,sub_170,normal,n/a,verification,human_verification,verification,True,True,4.0,unparseable|urgency_floor,False,True,True,True,False,False,False,,,False,
decision_firewall,c03_native_small_model,c03,native,small_model,electrical_emergency,True,,0,True,electrical_maintenance,False,True,sub_170,normal,degraded,red,emergency_dispatch,electrical_emergency,True,True,4.0,DIRECT_HAZARD|DANGEROUS_DOWNGRADE|REPAIR_WINDOW_AT_RISK|RELIABILITY_DEGRADED|UNPARSEABLE_CLASSIFICATION|LOW_MARGIN,False,True,True,True,False,False,False,,,False,
decision_firewall_reliability_normal,c03_native_small_model,c03,native,small_model,electrical_emergency,True,,0,True,electrical_maintenance,False,True,sub_170,normal,normal,red,emergency_dispatch,electrical_emergency,True,True,4.0,DIRECT_HAZARD|DANGEROUS_DOWNGRADE|REPAIR_WINDOW_AT_RISK|UNPARSEABLE_CLASSIFICATION|LOW_MARGIN,False,True,True,True,False,False,False,,,False,
escalate_everything,c03_native_small_model,c03,native,small_model,electrical_emergency,True,,0,True,electrical_maintenance,False,True,sub_170,normal,n/a,yellow,human_verification,verification,True,False,28.0,ESCALATE_ALL,False,True,False,True,False,False,False,,,False,
ai_only,c04_en_clean,c04,en,clean,electrical_maintenance,False,electrical_maintenance,2,True,electrical_maintenance,True,False,sub_040,very_high,n/a,n/a,automatic_route,electrical_maintenance,False,False,336.0,,False,False,False,False,False,False,True,,,False,
existing_guard,c04_en_clean,c04,en,clean,electrical_maintenance,False,electrical_maintenance,2,True,electrical_maintenance,True,False,sub_040,very_high,n/a,n/a,automatic_route,electrical_maintenance,False,False,336.0,,False,False,False,False,False,False,True,,,False,
decision_firewall,c04_en_clean,c04,en,clean,electrical_maintenance,False,electrical_maintenance,2,True,electrical_maintenance,True,False,sub_040,very_high,normal,yellow,human_verification,electrical_maintenance,True,False,360.0,VERY_HIGH_ASSET_CRITICALITY,False,False,False,True,True,False,False,,,False,
decision_firewall_reliability_normal,c04_en_clean,c04,en,clean,electrical_maintenance,False,electrical_maintenance,2,True,electrical_maintenance,True,False,sub_040,very_high,normal,yellow,human_verification,electrical_maintenance,True,False,360.0,VERY_HIGH_ASSET_CRITICALITY,False,False,False,True,True,False,False,,,False,
escalate_everything,c04_en_clean,c04,en,clean,electrical_maintenance,False,electrical_maintenance,2,True,electrical_maintenance,True,False,sub_040,very_high,n/a,yellow,human_verification,verification,True,False,360.0,ESCALATE_ALL,False,False,False,True,True,False,False,,,False,
ai_only,c04_en_truncated,c04,en,truncated,electrical_maintenance,False,electrical_maintenance,1,False,electrical_maintenance,True,False,sub_040,very_high,n/a,n/a,automatic_route,electrical_maintenance,False,False,336.0,,False,False,False,False,False,False,True,,,False,
existing_guard,c04_en_truncated,c04,en,truncated,electrical_maintenance,False,electrical_maintenance,1,False,electrical_maintenance,True,False,sub_040,very_high,n/a,n/a,automatic_route,electrical_maintenance,False,False,336.0,,False,False,False,False,False,False,True,,,False,
decision_firewall,c04_en_truncated,c04,en,truncated,electrical_maintenance,False,electrical_maintenance,1,False,electrical_maintenance,True,False,sub_040,very_high,normal,yellow,human_verification,electrical_maintenance,True,False,360.0,TRUNCATED_CLASSIFIER_INPUT|VERY_HIGH_ASSET_CRITICALITY,False,False,False,True,True,False,False,,,False,
